"","ref_date","GEO","DGUID","New.housing.price.indexes","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS","full_date","yr"
"93","1988-09","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,53.8,"",NA,NA,1,1988-09-01,1988
"94","1988-10","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,54.1,"",NA,NA,1,1988-10-01,1988
"95","1988-11","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,54.4,"",NA,NA,1,1988-11-01,1988
"96","1988-12","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,54.6,"",NA,NA,1,1988-12-01,1988
"97","1989-01","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,54.7,"",NA,NA,1,1989-01-01,1989
"98","1989-02","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,55.6,"",NA,NA,1,1989-02-01,1989
"99","1989-03","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,56.1,"",NA,NA,1,1989-03-01,1989
"100","1989-04","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,56.4,"",NA,NA,1,1989-04-01,1989
"101","1989-05","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,56.5,"",NA,NA,1,1989-05-01,1989
"102","1989-06","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,56.9,"",NA,NA,1,1989-06-01,1989
"103","1989-07","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,56.9,"",NA,NA,1,1989-07-01,1989
"104","1989-08","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,56.9,"",NA,NA,1,1989-08-01,1989
"105","1989-09","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,57.1,"",NA,NA,1,1989-09-01,1989
"106","1989-10","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,57.4,"",NA,NA,1,1989-10-01,1989
"107","1989-11","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,57.6,"",NA,NA,1,1989-11-01,1989
"108","1989-12","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,57.9,"",NA,NA,1,1989-12-01,1989
"109","1990-01","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,58.4,"",NA,NA,1,1990-01-01,1990
"110","1990-02","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,58.4,"",NA,NA,1,1990-02-01,1990
"111","1990-03","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,58.5,"",NA,NA,1,1990-03-01,1990
"112","1990-04","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,58.3,"",NA,NA,1,1990-04-01,1990
"113","1990-05","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,57.9,"",NA,NA,1,1990-05-01,1990
"114","1990-06","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,56.8,"",NA,NA,1,1990-06-01,1990
"115","1990-07","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,56.3,"",NA,NA,1,1990-07-01,1990
"116","1990-08","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,55.7,"",NA,NA,1,1990-08-01,1990
"117","1990-09","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,55,"",NA,NA,1,1990-09-01,1990
"118","1990-10","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,54.3,"",NA,NA,1,1990-10-01,1990
"119","1990-11","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,53.6,"",NA,NA,1,1990-11-01,1990
"120","1990-12","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,53.4,"",NA,NA,1,1990-12-01,1990
"121","1991-01","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,52.6,"",NA,NA,1,1991-01-01,1991
"122","1991-02","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,51.7,"",NA,NA,1,1991-02-01,1991
"123","1991-03","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,52,"",NA,NA,1,1991-03-01,1991
"124","1991-04","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,51.7,"",NA,NA,1,1991-04-01,1991
"125","1991-05","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,52.4,"",NA,NA,1,1991-05-01,1991
"126","1991-06","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,52.4,"",NA,NA,1,1991-06-01,1991
"127","1991-07","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,52.4,"",NA,NA,1,1991-07-01,1991
"128","1991-08","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,52.3,"",NA,NA,1,1991-08-01,1991
"129","1991-09","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,52.3,"",NA,NA,1,1991-09-01,1991
"130","1991-10","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,52.4,"",NA,NA,1,1991-10-01,1991
"131","1991-11","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,52.1,"",NA,NA,1,1991-11-01,1991
"132","1991-12","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,52.1,"",NA,NA,1,1991-12-01,1991
"133","1992-01","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,52,"",NA,NA,1,1992-01-01,1992
"134","1992-02","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,51.8,"",NA,NA,1,1992-02-01,1992
"135","1992-03","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,51.9,"",NA,NA,1,1992-03-01,1992
"136","1992-04","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,52,"",NA,NA,1,1992-04-01,1992
"137","1992-05","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,51.9,"",NA,NA,1,1992-05-01,1992
"138","1992-06","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,52,"",NA,NA,1,1992-06-01,1992
"139","1992-07","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,52,"",NA,NA,1,1992-07-01,1992
"140","1992-08","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,51.9,"",NA,NA,1,1992-08-01,1992
"141","1992-09","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,51.7,"",NA,NA,1,1992-09-01,1992
"142","1992-10","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,51.7,"",NA,NA,1,1992-10-01,1992
"143","1992-11","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,52,"",NA,NA,1,1992-11-01,1992
"144","1992-12","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,51.9,"",NA,NA,1,1992-12-01,1992
"145","1993-01","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,51.8,"",NA,NA,1,1993-01-01,1993
"146","1993-02","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,52,"",NA,NA,1,1993-02-01,1993
"147","1993-03","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,52.3,"",NA,NA,1,1993-03-01,1993
"148","1993-04","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,52.6,"",NA,NA,1,1993-04-01,1993
"149","1993-05","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,52.2,"",NA,NA,1,1993-05-01,1993
"150","1993-06","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,52.4,"",NA,NA,1,1993-06-01,1993
"151","1993-07","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,52.3,"",NA,NA,1,1993-07-01,1993
"152","1993-08","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,52.5,"",NA,NA,1,1993-08-01,1993
"153","1993-09","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,52.6,"",NA,NA,1,1993-09-01,1993
"154","1993-10","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,52.5,"",NA,NA,1,1993-10-01,1993
"155","1993-11","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,52.5,"",NA,NA,1,1993-11-01,1993
"156","1993-12","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,52.4,"",NA,NA,1,1993-12-01,1993
"157","1994-01","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,52.4,"",NA,NA,1,1994-01-01,1994
"158","1994-02","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,52.4,"",NA,NA,1,1994-02-01,1994
"159","1994-03","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,52.3,"",NA,NA,1,1994-03-01,1994
"160","1994-04","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,52.4,"",NA,NA,1,1994-04-01,1994
"161","1994-05","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,52.3,"",NA,NA,1,1994-05-01,1994
"162","1994-06","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,52.4,"",NA,NA,1,1994-06-01,1994
"163","1994-07","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,52.3,"",NA,NA,1,1994-07-01,1994
"164","1994-08","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,52.4,"",NA,NA,1,1994-08-01,1994
"165","1994-09","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,52.4,"",NA,NA,1,1994-09-01,1994
"166","1994-10","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,52.4,"",NA,NA,1,1994-10-01,1994
"167","1994-11","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,52.3,"",NA,NA,1,1994-11-01,1994
"168","1994-12","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,52.3,"",NA,NA,1,1994-12-01,1994
"169","1995-01","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,52.3,"",NA,NA,1,1995-01-01,1995
"170","1995-02","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,52.2,"",NA,NA,1,1995-02-01,1995
"171","1995-03","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,52.2,"",NA,NA,1,1995-03-01,1995
"172","1995-04","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,52.1,"",NA,NA,1,1995-04-01,1995
"173","1995-05","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,52,"",NA,NA,1,1995-05-01,1995
"174","1995-06","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,51.8,"",NA,NA,1,1995-06-01,1995
"175","1995-07","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,51.8,"",NA,NA,1,1995-07-01,1995
"176","1995-08","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,51.8,"",NA,NA,1,1995-08-01,1995
"177","1995-09","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,51.7,"",NA,NA,1,1995-09-01,1995
"178","1995-10","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,51.4,"",NA,NA,1,1995-10-01,1995
"179","1995-11","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,51.3,"",NA,NA,1,1995-11-01,1995
"180","1995-12","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,51.3,"",NA,NA,1,1995-12-01,1995
"181","1996-01","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,51.3,"",NA,NA,1,1996-01-01,1996
"182","1996-02","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,51,"",NA,NA,1,1996-02-01,1996
"183","1996-03","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,50.9,"",NA,NA,1,1996-03-01,1996
"184","1996-04","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,50.6,"",NA,NA,1,1996-04-01,1996
"185","1996-05","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,50.5,"",NA,NA,1,1996-05-01,1996
"186","1996-06","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,50.6,"",NA,NA,1,1996-06-01,1996
"187","1996-07","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,50.6,"",NA,NA,1,1996-07-01,1996
